"ID_sample","Altitude","Plot","Betula pendula","Betula pubescens","Sorbus aucuparia","Corylus avellana","Picea abies","Fraxinus excelsior","Alnus glutinosa","Alnus incana","Pinus sylvestris","Salix sp.","Fagus sylvatica","Rhamnus cathartica","Pinus sp.","Acer sp.","Quercus sp.","Abies alba","Aesculus hippocastanum","Carpinus betulus","Pinaceae sp.","Pinus nigra","Quercus rotundifolia","Sorbus domestica","Quercus faginea","Populus tremula","Larix decidua","Pinus cembra"
"PEL3A",1300,"A",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PEL3B",1240,"B",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PEL3C",1186,"C",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VEL1A",1852,"A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VEL1B",1852,"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VEL1C",1851,"C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VEL2A",1607,"A",0,0,0,0,0,0,0,0,60,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VEL2B",1599,"B",0,0,0,0,0,0,0,0,10,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VEL2C",1569,"C",0,0,0,0,0,0,0,0,80,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"VEL3A",1252,"A",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VEL3B",1252,"B",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VEL3C",1248,"C",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VEL4A",955,"A",0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VEL4B",961,"B",0,0,0,0,0,0,0,0,20,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VEL4C",956,"C",0,0,0,0,0,0,0,0,20,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FEL1A",1940,"A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FEL1B",1940,"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FEL1C",1930,"C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FEL2A",1670,"A",0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
"FEL2B",1670,"B",0,0,5,0,60,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
"FEL2C",1650,"C",0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0
"FEL3A",1380,"A",0,0,15,0,25,0,0,5,0,0,0,0,0,50,0,5,0,0,0,0,0,0,0,0,0,0
"FEL3B",1350,"B",5,0,8,2,70,0,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"FEL3C",1360,"C",0,0,0,0,75,0,0,2,0,0,0,0,0,15,0,8,0,0,0,0,0,0,0,0,0,0
"FEL4A",1043,"A",0,0,0,0,40,0,0,0,0,0,50,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"FEL4B",1044,"B",0,0,0,0,50,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FEL4C",1043,"C",0,0,0,0,40,0,0,0,0,0,40,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
"FEL5A",753,"A",0,0,0,0,10,0,0,0,0,0,80,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
"FEL5B",737,"B",0,0,0,0,20,0,0,0,0,0,70,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
"FEL5C",773,"C",0,0,0,0,30,0,0,0,0,0,60,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
"FEL6A",500,"A",0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0
"FEL6B",469,"B",0,0,0,0,0,0,0,0,0,0,65,0,0,0,10,0,20,5,0,0,0,0,0,0,0,0
"FEL6C",487,"C",0,0,0,0,0,0,0,0,0,0,75,0,0,0,10,0,10,5,0,0,0,0,0,0,0,0
"TEL1A",1845,"A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TEL1B",1829,"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TEL1C",1832,"C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TEL2A",1601,"A",0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,65,0,0,0,0,0,0,0
"TEL2B",1597,"B",0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,20,0,0,0,0,0,0,0
"TEL2C",1596,"C",0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,60,0,0,0,0,0,0,0
"TEL3A",1401,"A",0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,20,0,0,0,0,0,0,0
"TEL3B",1405,"B",0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,5,0,0,0,0,0,0,0
"TEL3C",1389,"C",0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,5,0,0,0,0,0,0,0
"TEL4A",1200,"A",0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,80,0,0,0,0,0,0,0
"TEL4B",1198,"B",0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,85,0,0,0,0,0,0,0
"TEL4C",1212,"C",0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,75,0,0,0,0,0,0,0
